Time,ECG
1.462,225
1.473,224
1.483,225
1.493,226
1.503,226
1.513,226
1.523,225
1.533,225
1.543,226
1.553,226
1.563,226
1.573,226
1.583,225
1.593,225
1.603,226
1.612,225
1.623,224
1.633,225
1.643,225
1.653,225
1.662,227
1.673,223
1.683,224
1.693,224
1.704,225
1.712,225
1.722,225
1.733,224
1.743,225
1.753,224
1.763,225
1.773,224
1.783,224
1.793,226
1.803,225
1.813,227
1.823,226
1.833,225
1.843,226
1.853,226
1.863,227
1.873,227
1.883,225
1.893,225
1.903,226
1.913,226
1.923,227
1.933,225
1.943,227
1.953,225
1.963,227
1.973,226
1.983,227
1.993,227
2.003,227
2.013,224
2.023,227
2.033,226
2.043,226
2.053,226
2.063,225
2.073,226
2.083,227
2.093,226
2.103,226
2.113,225
2.124,226
2.133,227
2.143,227
2.153,225
2.163,225
2.173,226
2.183,227
2.194,227
2.203,227
2.214,227
2.224,225
2.234,225
2.244,226
2.254,226
2.264,226
2.273,227
2.283,226
2.293,226
2.303,227
2.313,227
2.323,226
2.333,227
2.343,227
2.353,226
2.363,227
2.373,226
2.383,225
2.393,226
2.403,225
2.413,225
2.423,225
2.433,224
2.443,225
2.454,226
2.463,224
2.473,225
2.483,226
2.493,227
2.504,225
2.513,225
2.524,227
2.534,224
2.544,224
2.554,224
2.563,225
2.573,225
2.583,226
2.593,225
2.604,226
2.614,226
2.624,226
2.633,225
2.643,224
2.653,225
2.664,226
2.674,225
2.684,225
2.694,226
2.704,222
2.714,224
2.724,225
2.734,226
2.744,226
2.754,225
2.764,225
2.774,225
2.784,225
2.794,225
2.804,224
2.814,224
2.824,224
2.834,223
2.844,224
2.854,224
2.863,224
2.874,224
2.884,225
2.894,224
2.904,223
2.914,224
2.924,224
2.934,225
2.945,224
2.954,226
2.964,224
2.974,224
2.984,225
2.994,223
3.004,224
3.014,222
3.024,224
3.034,223
3.044,226
3.054,223
3.064,224
3.074,223
3.084,224
3.094,225
3.104,224
3.114,224
3.124,225
3.134,223
3.144,224
3.154,224
3.165,225
3.174,224
3.184,224
3.194,226
3.204,225
3.214,224
3.224,224
3.234,224
3.244,225
3.254,225
3.264,225
3.275,224
3.285,224
3.295,223
3.304,224
3.315,225
3.325,226
3.335,225
3.345,225
3.355,224
3.365,225
3.375,225
3.385,227
3.395,223
3.405,223
3.415,224
3.425,225
3.435,224
3.444,226
3.455,224
3.464,225
3.475,225
3.485,226
3.495,225
3.505,224
3.515,225
3.525,224
